Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2019,5 Year Energy Action and Assessment Compliance Status
1-4 Maple Court,Compliant,Multifamily Housing,"1 Maple Court, Suite B",02121,121944,31.9,,,"Multifamily Housing, Office, Social/Meeting Hall",1999,217.7,1.7,4022247.7,0.042681074,0.953651238,,18.53,,"Although property was originally built around 1920, it underwent a gut rehab in 1999, at which point the current usage consisting of 36 apartments, offices, and community space was established.  We have therefore used 1999 as our ""built"" date, as we have no information on how many apartments, etc., were in use at what points in time between 1920 and 1999.  Also, we have estimated the square footage information.  There is also a maintenance shop, a laundry, and unfinished basement space.",,002424-000,"2018, 2019, ",No,
140 Bay State Road,Compliant,Residence Hall/Dormitory,140 Bay State Road,02215,128887,90.8,59,,Residence Hall/Dormitory,1958,685.1,5.3,11698500.1,0.229950243,0.750289535,,36.43,,,,0504003000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
140 Clarendon,Compliant,Mixed Use Property,140 Clarendon Street,02116,193965,81.3,,,"Hotel, Multifamily Housing, Office, Other, Other - Lodging/Residential",1930,1121.8,5.8,15772850.2,0.509163754,,0.447082443,29.41,,"Energy Star score not created because largest portion of building is not 50% of the total, and is not a property type that can generate an energy star score. Building setup was left the way it was reported for this reason

Other Lodging = SRO (no field for bedrooms)

Bedroom/Unit Breakout:
65 SRO’s  Single Room Occupancy   (basically a room with a bathroom)
12 Studio’s
35 one bedrooms
6 two bedrooms",,0401085000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
140 The Fenway,Compliant,College/University,140 The Fenway,02115,148145,211.8,,,College/University,1912,1978,13.4,31381893.8,0.418432225,0.545610785,,17.55,,,,401706000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
1400 Comm. Ave Condominium Trust,Compliant,Multifamily Housing,1394-1408 Commonwealth Ave,02135,50220,82.7,57,,Multifamily Housing,1920,308.3,6.1,4155451.1,0.149952023,0.006641878,,44,,,,2101414000,"2018, 2019, ",No,
141 tremont street,Compliant,Office,141 tremont street,02111,64884,82.8,36,,Office,1969,402.6,6.2,5373406.4,0.920562569,0.000331038,,11.25,,,,0304800000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
142 Berkeley Street,Compliant,Office,140-144 Berkeley Street,02116,120000,81.8,84,,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",1890,730.2,6.1,9814940.2,0.238335837,,,21.73,,,,0401146000,"2016, 2017, 2018, 2019, ",Yes,Not Compliant
143 Park Drive - Gilbert Realty Trust,Compliant,Multifamily Housing,143 Park Drive,02215,33492,3.3,100,,Multifamily Housing,1926,7.7,0.2,111396,0.661705268,0.281432906,,8.08,,,,504278000,"2017, 2018, 2019, ",No,
144-148 Geneva Ave,Compliant,Multifamily Housing,144-148 Geneva Ave,02121,34944,67.9,62,,Multifamily Housing,1920,138.5,4,2373044.2,0.220620431,0.760421108,,45.77,,Part of the electric usage for this building comes from a solar wind farm.  This usage is unmeasured and spread over several properties.  Eversource only reports the difference between the grid and solar farm.  Received updated data from Eversource which may have included data before solar reductions (9/3/19).,,1400076000,"2015, 2016, 2017, 2018, 2019, ",No,
144-162 (170) Charles Street,Compliant,Other,144-162 Charles Street,02114,48544,48.3,,,"Other, Parking",1920,160.3,3.3,2346917.9,0.640634575,0.304314011,,11.54,,"3 floors are enclosed parking; 400 Covered Spaces
Electric provided directly by Eversource which accounts for the whole building. Natural gas provided directly by National Grid for the whole building. ",,502444000,"2017, 2018, 2019, ",No,
145 Newton Street,Compliant,Manufacturing/Industrial Plant,145 Newton Street,02135,110510,7.5,,,Manufacturing/Industrial Plant,1965,44,0.4,828147.8,,1,,1.03,,NB pays this bill & we haven't received the details for 2017.  Entered same as 2016.,,2203428000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
145 Tremont,Compliant,Office,144 Tremont Street,02111,42007,37.8,71,,Office,1924,118.9,2.8,1586068.2,0.920867328,,,18.23,,,,0304824000,"2017, 2018, 2019, ",No,
1460 House,Compliant,Multifamily Housing,1460 Dorchester Avenue,02122,24573,51.5,98,,Multifamily Housing,2008,74.6,3,1265933.1,0.246332415,0.732499608,,49.86,,,,1500551012,"2017, 2018, 2019, ",No,
147 Milk Street,Compliant,Office,147 Milk Street ,02109,52337,102.2,,,Office,1980,382.4,7.3,5348255.6,0.549377177,,0.403413386,11.41,,,,0304027000,"2019, ",Yes,Not Compliant
14WBL-Element Seaport Boston,Compliant,Hotel,391-395 D Street,55403,116331,67.3,84,,Hotel,2000,947.3,8.1,7824547.2,0.555170684,0.397122034,,26.43,,,,0602839010,"2018, 2019, ",No,
15 Bismarck,Compliant,Office,15 Bismark Street,02026,3200,83.4,29,,Office,1965,19.9,6.2,266759.9,0.373504271,,,7.02,,,,1801935000,"2019, ",No,
15 Broad st,Compliant,Office,15 Broad St,02109,83845,74.4,80,"2018, 2017",Office,1910,376.5,4.5,6237650,0.305408707,0.668346701,,11.03,,,,0303836000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
15 Guest Street,Compliant,Office,15 Guest Street,02135,115551,44,92,,"Office, Parking",2001,380.6,3.3,5078983,0.92086742,,,1.62,,,,2201907000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
150 Mass Ave,Compliant,College/University,150 Mass Ave,02215,216000,108.1,,,College/University,1900,1479.2,6.8,23352384.4,0.431664446,0.531241478,,Not Available,,,,401372001,"2014, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
150 Mt Vernon: 150 Mount Vernon Street,Compliant,Office,150 Mount Vernon Street,02125,129800,67.5,44,,Office,1984,638.9,4.9,8763110.6,0.83517985,0.093050931,,Not Available,,renovated 2001. ,,1303448200,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
15-27 Highland Ave,Compliant,Multifamily Housing,15-27 Highland Ave,02119,35778,159.5,3,,Multifamily Housing,1972,313.8,8.8,5705605.3,0.079671676,0.91348194,,63.42,,,,0903516000,"2017, 2018, 2019, ",No,
155 Federal Street,Compliant,Office,155 Federal St,02110,190941,22.5,97,,Office,1983,321.3,1.7,4287519.2,0.92086738,,,11.76,,,,304210000,"2014, 2017, 2018, 2019, ",Yes,Not Compliant
157 Washington St,Compliant,Multifamily Housing,157 Washington St,02121,22386,76.4,55,,"Multifamily Housing, Parking",2012,102.2,4.6,1710075.2,0.279991335,0.695948342,,43.35,,,,1401034000,"2017, 2018, 2019, ",No,
158 WEST NEWTON,Municipal,Multifamily Housing,94 West Newton St.,02118,108000,60.2,6,,Multifamily Housing,1973,487.4,4.5,6504053.4,0.920867422,,,Not Available,,,,900475000,"2019, ",No,
1597 Washington Street Condo,Compliant,Multifamily Housing,1597 Washington Street,02118,33828,246.8,1,,Multifamily Housing,2000,573.2,16.9,8348839.3,0.656039873,0.287584886,,11.7,,,,0900400050,"2018, 2019, ",No,
160 Mass Ave,Compliant,Residence Hall/Dormitory,160 Mass Ave,02215,176000,Not Available,,,Residence Hall/Dormitory,2013,Not Available,Not Available,Not Available,,,,Not Available,,,,401312000,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
1607 Commonwealth Ave,Compliant,Multifamily Housing,1607 Commonwealth Ave,02135,24000,87.3,73,,Multifamily Housing,1925,120.7,5,2094256.7,0.190331752,0.793312587,,31.86,,,,2101916000,"2017, 2018, 2019, ",No,
1619 Comm Ave,Compliant,Multifamily Housing,1619 Commonwealth Avenue,02135,30456,55.5,,,Multifamily Housing,1932,89.8,2.9,1690000,,1,,27.47,,,,2102649000,"2019, ",No,
1-63 Foodmart Road,Compliant,Manufacturing/Industrial Plant,1-63 Foodmart Road,02118,176566,152.9,,,Manufacturing/Industrial Plant,1967,1654.2,9.4,26999789,0.344004279,0.626434521,,119.52,,,,0801024010,"2016, 2019, ",Yes,Extension
1691 Comm. Ave,Compliant,Multifamily Housing,1691 Commonwealth Ave,02135,29049,104.1,35,,Multifamily Housing,1918,223,7.7,3024815.2,0.097992762,0.027208274,,65.79,,,,2101929000,"2018, 2019, ",No,
16WDP-Aloft Seaport Boston,Compliant,Hotel,401 - 403 D Street,48242,198720,82.6,59,,Hotel,2000,2063.7,10.4,16421081.3,0.571588907,0.37929294,,31.29,,,,0602839010,"2018, 2019, ",No,
170 Parkside Condominium Trust,Compliant,Multifamily Housing,170 Tremont St ,02111,96696,73.5,42,,"Multifamily Housing, Parking",1985,456.5,4.7,7108242.4,0.468857183,0.490852675,,38.03,,This is an 18 story condominium Building with 93 Residential units and 2 commercial units.  It has a 4 story fully enclosed under ground parking lot.  All units are individually owned and each unit has its own separate electric meter.  Gas is provided to all units for cooking.  The fuel source for heat is gas.,,0304842000,"2015, 2016, 2017, 2018, 2019, ",No,
170 Shawmut Ave,Compliant,Manufacturing/Industrial Plant,170 Shawmut Avenue,02118,52224,55.8,,,Manufacturing/Industrial Plant,1960,171.9,3.3,2912607.2,0.249744801,0.728793914,,4.09,,,,030616000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
172-The Boxer (Bulfinch) Hotel,Compliant,Hotel,107 Merrimac Street,02114,47420,115.1,56,,Hotel,2005,328.6,6.9,5460244.8,0.298213588,0.676160105,,60.44,,,,301676000,"2015, 2016, 2017, 2018, 2019, ",No,
174 RUTLAND,Municipal,Multifamily Housing,62 Rutland St.,02118,11200,64.2,,,Multifamily Housing,1982,43,3.8,718676.3,0.281465069,0.694347928,,4490.11,,,,900540000,"2019, ",No,
175 Berkeley St. (0001),Compliant,Office,175 Berkeley St.,02116,522349,65.3,78,"2018, 2017, 2016, 2015, 2011, 2010, 2009, 2008","Office, Parking, Restaurant",1958,2269.7,4.3,34119772.7,0.56570107,0.385686734,,8.51,,"6/2013 - New Conference Center Addition opens.
9/2013 - Major Bldg Renovation Project Underway.  Floors 3-10 (half of 9th Fl) are completely vacant.
9/2015 - Reoccupancy of 47,026 SF 1st Floor Renovation",,0501153000 0501155000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
175 Federal Street,Compliant,Office,175 Federal Street`,02110,227365,62.7,53,"2017, 2016, 2015, 2014, 2012","Bank Branch, Office",1977,1069,4.7,14265148,0.920867409,,,Not Available,,,,0304231000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
175 McClellan HWY,Compliant,Mixed Use Property,144 Addison St,02128,405215,23,,,"Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office, Other, Parking, Worship Facility",1910,565.2,1.4,9311058.6,0.320354056,0.652117064,,5.62,,"a)No default energy values were used. 
b) There is an estimation on the ""Warehouse Vacancy"" because of an area that could also be considered a hallway. Difference is ~ 236 sf.
c) Data was collected from NSTAR, National Grid, and a compilation of our water usage from the Boston Water and Sewer Commission.
d) Note May 1 2018 Sterlingware downsize in space and also significant reduction in manufacturing schedule = decrease in utilities. 
e) 1/2018 7,000 sf of office allowed as temporary use to existing tenant. 


",,00548-100,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
175 North Harvard Street Building,Compliant,Parking,175 North Harvard Street,02134,39709,Not Available,,,Parking,2006,Not Available,Not Available,Not Available,,,,Not Available,,,,2200534000,"2016, 2017, 2018, 2019, ",No,
176 Federal Street,Compliant,Office,176 Federal Street,02110,76323,105.2,,,"Office, Restaurant, Retail Store",1900,601.8,7.9,8031073.3,0.920867429,,,14.15,,,,0304379000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
176 Lincoln St,Compliant,Office,176 Lincoln St,02135,450000,Not Available,,,Office,2002,Not Available,Not Available,Not Available,,,,Not Available,,"Property was abandon in 2013. Office space building fit-out that was never finished.
Energy use is from signage and exterior lights in site. ",,2200969000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
177 Huntington Ave.,Compliant,Office,177 Huntington Ave.,02115,247733,152.9,21,2014,Office,1972,2617.2,10.6,37881390.7,0.290161002,,0.684904691,14.79,,,,0401150010,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
177 Milk Street,Compliant,Office,177 Milk Street,02109,73339,86.5,51,,Office,1892,397,5.4,6342413.3,0.399860622,0.565778282,,8.9,,,,303940000,"2014, 2017, 2018, 2019, ",Yes,Not Compliant
178-179 Tremont Street,Compliant,Office,178-179 Tremont Street,02111,50600,119,49,,Office,1916,385.2,7.6,6021872.8,0.457948608,0.502698662,,22329.99,,,,0304884000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
178-180 Columbia Rd,Compliant,Multifamily Housing,180 Columbia Road,02121,35308,65.6,78,,Multifamily Housing,1920,131.4,3.7,2314690.5,0.153580863,0.833221547,,50.36,,Part of the electric usage for this building comes from a solar wind farm.  This usage is unmeasured and spread over several properties.  Eversource only reports the difference between the grid and solar farm.,,1400707000,"2017, 2018, 2019, ",No,
179 Lincoln Street,Compliant,Office,179 Lincoln Street,02111,236461,69.8,81,"2018, 2017, 2016, 2015, 2014, 2013, 2012","Office, Parking",1899,1094.7,4.6,16497935.4,0.55855582,0.393445982,,6.67,,"Update occupancy in March 2019
",,0305332-000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
179 Longwood Ave-collegeUniversity,Compliant,College/University,179 Longwood Ave,02115,347844,106.8,,,College/University,1995,2036,5.9,37166632.9,0.070288427,0.923671501,,17.76,,,,0401844000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
180 beacon condominium trust,Compliant,Multifamily Housing,180 beacon street,02116,180000,53.1,96,,"Multifamily Housing, Parking",1968,547.3,3,9559474,0.174384317,0.810630365,,19.96,,,,502598000,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
180 NB - Glencoe Street,Compliant,Multifamily Housing,180 North Beacon Street,02135,32955,3,100,,Multifamily Housing,1970,7.3,0.2,97706,0.920867828,,,109.3,,,,2202115000,"2016, 2017, 2018, 2019, ",No,
182 COMMONWEALTH,Municipal,Multifamily Housing,35 Fidelis Way,02135,465238,64.2,79,,Multifamily Housing,1951,1726.6,3.7,29861635,0.198605331,0.784327985,,6987.41,,,,2101831100,"2019, ",No,
186 Lincoln Street,Compliant,Office,186 Lincoln Street,02111,74160,49.3,80,,Office,1899,269.1,3.6,3654252.3,0.459472532,0.043901129,,8.02,,"Dec 2017 electric is estimated; Eversource portal data was incorrect. Portal continues to have incorrect data May, June July

Properties aggregated weighted hours is <30 so there is not score; however, if we enter 7.8 hours for vacant space, then the score become a 78 which is pretty good. ",,0305340010,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
189 FRANKLIN FIELD,Municipal,Multifamily Housing,91 Ames St.,02124,402572,116,26,,Multifamily Housing,1954,2738.5,6.8,46705255.6,0.232914032,0.747071045,,7483.45,,,,1402862000,"2019, ",No,
19 Hampden,Compliant,Manufacturing/Industrial Plant,19 Hampden St,02119,35470,63.9,,,Manufacturing/Industrial Plant,1997,131.5,3.7,2267149.5,0.206274012,0.776000348,,6.19,,,,0802130000,"2016, 2017, 2018, 2019, ",No,
191 Commonwealth Ave,Compliant,Multifamily Housing,191 Commonwealth Ave,02116,24000,111.8,,,Multifamily Housing,1872,146.3,6.1,2684222,0.058412605,0.936567877,,309.53,,,,0502952000,"2018, 2019, ",No,
193 HIGHLAND PARK,Municipal,Multifamily Housing,50-68 Highland Ave.,02119,12685,246.5,,,Multifamily Housing,1983,176.2,13.9,3126361.7,0.136988718,0.851239478,,17771.5,,,,903491000,"2019, ",No,
1930-1960 Beacon St,Compliant,Multifamily Housing,1930-1960 Beacon St,02135,44954,98.9,,,"Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",1920,248.6,5.5,4447566.3,0.117505799,0.872396618,,53.94,,,,2102396000,"2017, 2018, 2019, ",No,
1960-1980 Commonwealth Ave.,Compliant,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",02135,141204,96.3,44,,Multifamily Housing,1937,749.7,5.3,13604668.7,0.084018502,0.908761578,,29.6,,,,02469-000,"2015, 2016, 2017, 2018, 2019, ",No,
198 Geneva Avenue,Compliant,Office,198 Geneva Avenue,02121,60000,88.7,83,,Office,1968,332.8,5.5,5319192.9,0.398814736,0.566914033,,18.14,,,,1400038000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
2 - 12 Dudley Terrace,Voluntary,Multifamily Housing,2 Dudley Ter.,02125,14861,64.7,,,Multifamily Housing,1900,52.3,3.5,961405.4,0.054950376,0.940327566,,36.15,,,,0703926000,"2015, 2016, 2017, 2018, 2019, ",No,
2 Alger Street,Compliant,Self-Storage Facility,2 Alger Street,02127,42800,71.2,,,Self-Storage Facility,1970,185,4.3,3046971.2,0.320820103,0.651611016,,0.66,,,,700027001,"2016, 2017, 2018, 2019, ",No,
2 Atlantic,Compliant,Office,2 Atlantic Avenue,02110,68035,138.8,22,,"Office, Parking",1998,603.6,8.9,9440374.9,0.456511142,0.504259635,,19.91,,"During 2014:  Construction renovation project on 3rd floor (about 18% of Building rsf) completed around July 2014. Mechanical system upgrade on 3rd floor completed around January 2015. Glycol system flush out occurred during November/December 2014.

During 2015:  Construction renovation project on the 4th floor; constructed intercommunicating stairway between the 3rd & 4th floors; additional rework construction on 3rd floor. These construction projects were completed around March 31, 2016.  Upgraded and replaced the cooling tower and roof, both of which were completed around February 2016.",,303030010,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
2 Bismarck Street,Compliant,Multifamily Housing,15 Bismark Street,02026,14400,81.7,,,Multifamily Housing,1965,87.5,6.1,1176549.1,0.217556728,,,42.32,,,,1801980000,"2015, 2016, 2017, 2019, ",No,
2 Boylston Place,Compliant,Residence Hall/Dormitory,2 Boylston Place,02116,103963,71.7,58,,Residence Hall/Dormitory,2016,530.1,5.1,7454086.7,0.508871415,,0.447399894,25.84,,,,304908000,"2019, ",No,
2 Cummington Street (23-25 Blandford Street),Compliant,Laboratory,2 Cummington Street (23-25 Blandford Street),02215,61754,127.9,,,Laboratory,1905,511.8,8.3,7895881.5,0.493640638,0.463939498,,4.49,,,,2100295000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
2 Oliver St.,Compliant,Office,2 Oliver St.,02110,233763,38.8,89,,Office,1900,648.9,2.8,9058458.6,0.78163359,0.15119856,,9.64,,,,0304026000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
2 Park Plaza,Compliant,Retail Store,2 Park Plaza,02116,39000,6.7,100,,"Office, Retail Store",1800,58.6,0.5,781692.6,0.920867541,,,5.76,,,,500020000,"2016, 2017, 2018, 2019, ",No,
2 Sewall Ave (233 Harvard),Voluntary,Other,10 Sewall Avenue,02446,29017,15.4,,,Other,1900,33.4,1.2,445822.2,0.920867435,,,25.6,,,,,"2019, ",No,
20 City Hall Ave,Municipal,Office,20 City Hall Ave,02108,9680,137.3,25,,Office,2000,84.3,8.7,1329374.5,0.062389774,0.269985621,0.662263267,Not Available,,,,302865000,"2016, 2017, 2018, 2019, ",No,
20 Custom House,Compliant,Office,20 Custom House,02110,96032,119.3,41,,Office,1984,858.7,8.9,11458280.4,0.920867418,,,26.9,,,,0303998000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
20 Fairlawn,Compliant,Multifamily Housing,15 Bismark Street,02026,50000,49.8,91,,Multifamily Housing,1965,185.2,3.7,2489874.2,0.231932959,,,28.64,,,,1801935000,"2019, ",No,
20 Guest Street,Compliant,Office,20 Guest Street,02135,218104,49.6,,,Office,1999,796.7,3.7,10822019.9,0.865014962,0.060652005,,4.72,,,,01906-012,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
20 Radcliffe Rd,Compliant,Multifamily Housing,20 Radcliffe Rd,02134,36552,59.8,83,,Multifamily Housing,1968,127.3,3.5,2186744.6,0.214576105,0.766984768,,57.96,,,,2100964001,"2017, 2018, 2019, ",No,
